source,destination
https://coincu.com/303834-semler-scientific-to-raise-75m-to-buy-bitcoin/,https://coincu.com/semler-scientific-to-raise-75m-to-buy-bitcoin
https://coincu.com/161920-brazil-and-argentina-currency-bloc/,https://coincu.com/brazil-and-argentina-currency-bloc
https://coincu.com/190286-makerdao-increasing-dai-savings-rate/,https://coincu.com/makerdao-increasing-dai-savings-rate
https://coincu.com/257714-new-makerdao-tokens-are-launched/,https://coincu.com/new-makerdao-tokens-are-launched
https://coincu.com/139327-bakkt-acquires-apex-crypto/,https://coincu.com/bakkt-acquires-apex-crypto
https://news.coincu.com/139327-bakkt-acquires-apex-crypto/,https://coincu.com/bakkt-acquires-apex-crypto
https://coincu.com/187566-blockfi-wants-to-liquidate/,https://coincu.com/blockfi-wants-to-liquidate
https://coincu.com/122516-saudi-arabias-central-bank-chief-of-crypto/,https://coincu.com/saudi-arabias-central-bank-chief-of-crypto
https://news.coincu.com/122516-saudi-arabias-central-bank-chief-of-crypto/,https://coincu.com/saudi-arabias-central-bank-chief-of-crypto
https://coincu.com/188087-binance-support-terra-classic-kava/,https://coincu.com/binance-support-terra-classic-kava
https://news.coincu.com/188087-binance-support-terra-classic-kava/,https://coincu.com/binance-support-terra-classic-kava
https://coincu.com/105500-coca-cola-releases-nft-honoring-lgbtqia/,https://coincu.com/coca-cola-releases-nft-honoring-lgbtqia
https://coincu.com/143852-bahamas-control-of-assets-of-fdm/,https://coincu.com/bahamas-control-of-assets-of-fdm
https://coincu.com/244078-coinbase-clo-paul-grewal-criticizes-us-gao/,https://coincu.com/coinbase-clo-paul-grewal-criticizes-us-gao
https://coincu.com/327762-4-best-crypto-presales-to-join-now-bdag-best-nola-memex/,https://coincu.com/4-best-crypto-presales-to-join-now-bdag-best-nola-memex
